Title;Author;Avg Rating;Ratings
Revelation Space (Revelation Space, #1);Alastair Reynolds;3.99;49,596
The Iceman Cometh;Eugene O'Neill;3.84;10,282
Green Angel (Green Angel, #1);Alice Hoffman;3.92;10,732
Kiss Me, Judas;Will Christopher Baer;3.74;4,658
Another Fine Myth (Myth Adventures, #1);Robert Lynn Asprin;4.02;23,407
L'Avare;Molière;3.65;20,225
Without Fail (Jack Reacher, #6);Lee Child;4.15;94,671
Ferdydurke;Witold Gombrowicz;3.83;12,024
Fire Bringer;David Clement-Davies;4.19;12,994
90 Minutes in Heaven: A True Story of Death and Life;Don Piper;3.94;90,579
Jacob (Nightwalkers, #1);Jacquelyn Frank;3.98;23,716
The Silver Kiss;Annette Curtis Klause;3.69;17,464
The Strange Case of Origami Yoda (Origami Yoda #1);Tom Angleberger;3.89;30,628
Seeking Crystal (Benedicts, #3);Joss Stirling;4.29;9,172
Fracture (Night School, #3);C.J. Daugherty;4.11;9,007
Waterland;Graham Swift;3.91;8,153
Song of the Silent Snow;Hubert Selby Jr.;3.61;1,600
All of Me;Kevine Walcott;4.42;761
My Father's Dragon (My Father's Dragon, #1);Ruth Stiles Gannett;4.08;37,382
Magician: Master (The Riftwar Saga, #2);Raymond E. Feist;4.21;72,033
The Enchanted Forest Chronicles (The Enchanted Forest Chronicles, #1-4);Patricia C. Wrede;4.49;10,086
Rhapsody: Child of Blood (Symphony of Ages, #1);Elizabeth Haydon;3.96;19,099
The Assassin and the Healer (Throne of Glass, #0.2);Sarah J. Maas;4.22;23,972
Divided Kingdom;Rupert Thomson;3.37;1,682
Saint Anything;Sarah Dessen;4.01;60,776
Lady Windermere's Fan;Oscar Wilde;3.88;22,703
The Fates Divide (Carve the Mark, #2);Veronica Roth;3.92;26,571
Fight Club 2;Chuck Palahniuk;3.06;7,946
The Diary of a Nobody;George Grossmith;3.70;14,169
Mike Mulligan and His Steam Shovel;Virginia Lee Burton;4.18;52,619
Bed of Roses (Bride Quartet, #2);Nora Roberts;4.11;59,548
The Golden Ass;Apuleius;3.88;13,072
Sweet Filthy Boy (Wild Seasons, #1);Christina Lauren;4.08;41,365
Tam Lin;Pamela Dean;3.85;5,591
Women in Love;D.H. Lawrence;3.66;30,273
Waylander (The Drenai Saga #3);David Gemmell;4.28;18,619
Die Trying (Jack Reacher, #2);Lee Child;4.04;120,199
Pride Mates (Shifters Unbound, #1);Jennifer Ashley;3.88;20,258
The Girl in the Steel Corset (Steampunk Chronicles, #1);Kady Cross;3.80;21,275
The Summerhouse (The Summerhouse, #1);Jude Deveraux;3.95;12,105
Peter Nimble and His Fantastic Eyes (Peter Nimble, #1);Jonathan Auxier;4.09;9,932
The Quantum Thief (Jean le Flambeur #1);Hannu Rajaniemi;3.84;22,118
Branded (Sinners, #1);Abi Ketner;3.83;8,231
Death Note, Vol. 5: Whiteout (Death Note, #5);Tsugumi Ohba;4.34;23,741
Il cavaliere inesistente;Italo Calvino;3.88;15,118
The Passion of Artemisia;Susan Vreeland;3.89;17,743
Boys that Bite (Blood Coven Vampire, #1);Mari Mancusi;3.68;11,690
Crown Duel (Crown & Court #1-2);Sherwood Smith;4.19;24,683
The Machine Stops;E.M. Forster;4.08;12,111
Anya's Ghost;Vera Brosgol;3.90;73,368
An Author's Odyssey (The Land of Stories, #5);Chris Colfer;4.47;27,684
Storm of Steel;Ernst Jünger;4.03;14,569
Checkmate (Neighbor from Hell, #3);R.L. Mathewson;4.13;47,388
Never Go Back (Jack Reacher, #18);Lee Child;4.06;66,147
Scar Tissue;Anthony Kiedis;4.07;76,735
Refugee;Alan Gratz;4.42;45,883
All We Ever Wanted;Emily Giffin;3.85;109,746
The Target (Will Robie, #3);David Baldacci;4.10;49,977
Lord Edgware Dies (Hercule Poirot, #9);Agatha Christie;3.93;38,461
زمن الخيول البيضاء;Ibrahim Nasrallah;4.42;9,641
We Disappear;Scott Heim;3.42;1,503
Pictures of Hollis Woods;Patricia Reilly Giff;4.02;28,195
Full Moon Rising (Riley Jenson Guardian #1);Keri Arthur;3.88;34,593
Chronicles: Volume One;Bob Dylan;3.94;55,351
Bloodlust (The Vampire Diaries: Stefan's Diaries, #2);L.J. Smith;4.05;14,463
13 Treasures (Thirteen Treasures, #1);Michelle Harrison;4.04;9,844
Archangel's Consort (Guild Hunter, #3);Nalini Singh;4.20;41,823
Second Glance;Jodi Picoult;3.80;43,498
Warrior of the Light;Paulo Coelho;3.69;34,456
Jejak Langkah;Pramoedya Ananta Toer;4.37;5,429
House of Glass (Buru Quartet, #4);Pramoedya Ananta Toer;4.32;3,757
Pyongyang: A Journey in North Korea;Guy Delisle;3.91;22,795
The Gravity of Us (Elements, #4);Brittainy C. Cherry;4.38;24,768
Joan of Arc;Mark Twain;4.09;6,702
The 5000 Year Leap: A Miracle That Changed the World;W. Cleon Skousen;4.27;6,816
Sworn to Silence (Kate Burkholder, #1);Linda Castillo;4.01;40,597
Beautifully Damaged (Beautifully Damaged, #1);L.A. Fiore;3.98;29,743
Kerri's War (The King Trilogy #3);Stephen Douglass;3.91;3,530
Les jeux sont faits;Jean-Paul Sartre;3.96;4,260
A Unique Kind of Love;Jasmine  Rose;4.17;1,018
How the King of Elfhame Learned to Hate Stories (The Folk of the Air, #3.5);Holly Black;4.25;62,747
City of Masks (Stravaganza, #1);Mary Hoffman;3.92;15,696
The Elephant Vanishes;Haruki Murakami;3.86;43,352
Hunters of the Dusk (Cirque Du Freak, #7);Darren Shan;4.17;25,362
Left Neglected;Lisa Genova;3.98;71,736
Separation of Power (Mitch Rapp, #5);Vince Flynn;4.30;46,046
Hidden (House of Night, #10);P.C. Cast;3.99;52,473
Are You There, Vodka? It's Me, Chelsea;Chelsea Handler;3.83;162,662
Pnin;Vladimir Nabokov;3.89;20,347
Journey to Ixtlan;Carlos Castaneda;4.05;12,715
Perfection (Neighbor from Hell, #2);R.L. Mathewson;4.14;63,686
A Modest Proposal;Jonathan Swift;4.02;42,930
The Penelopiad;Margaret Atwood;3.71;55,191
The Hard Goodbye (Sin City, #1);Frank Miller;4.16;58,332
The Emerald Atlas (The Books of Beginning, #1);John  Stephens;3.94;20,850
Genome: the Autobiography of a Species in 23 Chapters;Matt Ridley;4.05;24,661
This Is What Happy Looks Like (This is What Happy Looks Like, #1);Jennifer E. Smith;3.68;49,663
سمفونی مردگان;عباس معروفی;4.18;14,476
Complicity;Iain Banks;3.87;12,233
The Thin Man;Dashiell Hammett;3.93;34,841
Sanctuary (1-800-Where-R-You, #4);Jenny Carroll;4.11;10,864
Epic Fail;Claire LaZebnik;3.73;33,901
Beautiful Broken Rules (Broken #1);Kimberly Lauren;4.12;32,225
A Spool of Blue Thread;Anne Tyler;3.43;88,897
The Invisible Library (The Invisible Library, #1);Genevieve Cogman;3.73;49,473
The Midwife: A Memoir of Birth, Joy, and Hard Times;Jennifer Worth;4.12;67,742
Theatre;W. Somerset Maugham;4.15;6,909
The Last of the Really Great Whangdoodles;Julie Andrews Edwards;4.26;12,422
Shattered Mirror;Amelia Atwater-Rhodes;4.03;10,091
Forgive My Fins (Fins, #1);Tera Lynn Childs;3.84;17,100
The Happy Spinster;Karena Marie;3.91;101
The Ship of the Dead (Magnus Chase and the Gods of Asgard, #3);Rick Riordan;4.39;62,577
My Loose Thread;Dennis Cooper;3.53;1,241
Dicey's Song (Tillerman Cycle, #2);Cynthia Voigt;3.97;17,541
The Devil's Arithmetic;Jane Yolen;4.01;57,257
Eclipse (Warriors: Power of Three, #4);Erin Hunter;4.32;17,221
The Best Laid Plans;Sidney Sheldon;3.70;23,033
Beyond the Grave (The 39 Clues, #4);Jude Watson;3.92;45,438
The Metamorphosis and Other Stories;Franz Kafka;4.03;56,248
Spark (Elemental, #2);Brigid Kemmerer;4.14;16,768
Ship Breaker (Ship Breaker, #1);Paolo Bacigalupi;3.74;47,634
I'm Not Stiller;Max Frisch;4.05;4,265
So You Want to Be a Wizard (Young Wizards #1);Diane Duane;3.83;26,124
Knowing God;J.I. Packer;4.27;51,256
It Had to Be You (Chicago Stars, #1);Susan Elizabeth Phillips;4.02;62,778
Rebel Spring (Falling Kingdoms, #2);Morgan Rhodes;4.09;31,578
The Magician's Land (The Magicians, #3);Lev Grossman;4.12;73,408
Jacob Have I Loved;Katherine Paterson;3.68;32,110
The Structure of Scientific Revolutions;Thomas S. Kuhn;4.02;23,971
The Vast Fields of Ordinary;Nick Burd;3.93;10,572
The Summer Tree (The Fionavar Tapestry #1);Guy Gavriel Kay;3.98;22,268
Little Women;Louisa May Alcott;4.03;24,128
The Schopenhauer Cure;Irvin D. Yalom;4.24;19,211
Ain't No Grave: The Life and Legacy of Brother Claude Ely;Macel Ely II;3.51;2,167
The Song of the Lioness Quartet (Song of the Lioness, #1-4);Tamora Pierce;4.59;13,497
Total Control;David Baldacci;4.09;40,308
Enjambre Sutil;Jose Dellepiane;4.41;17
The Oaks (Royal Oaks, #1);Jessica Loving;4.50;22
I Am Her... (I Am Her..., #1);Sarah Ann Walker;3.95;840
Intermix Nation;M.P. Attardo;4.15;202
Temptation (Temptation, #1);Karen Ann Hopkins;3.77;1,719
Reckless Endangerment;Amber Lea Easton;4.01;279
The Two Towers (The Two Towers #1);Jamie A. Waters;4.06;410
Verdammt. Verliebt. (Verdammt, #1);Simona Dobrescu;4.21;85
Twisted (Twisted, #1);Lola Smirnova;3.81;188
Finding the Rainbow;Rachel McGrath;4.49;115
The Art of Startup Fundraising;Alejandro Cremades;4.01;592
Seven Cuts;Kady Hunt;4.09;11
I Am Waltz;Matthew D. Dho;4.07;45
Deadly Pretty Strangers: One dead body, one bereaved mother, one small favour ...;Max Thorn;4.31;32
A Certain Age;Tama Janowitz;3.24;990
The Rivers of Zadaa (Pendragon, #6);D.J. MacHale;4.20;23,655
Rhett Butler's People;Donald McCaig;3.79;19,212
The Amber Room;Steve Berry;3.87;26,183
Snakehead (Alex Rider, #7);Anthony Horowitz;4.15;43,859
A Spy at Home;Joseph Rinaldo;3.71;38
Slade (New Species, #2);Laurann Dohner;4.20;20,528
Zorro;Isabel Allende;3.77;21,229
The Viper's Nest (The 39 Clues, #7);Peter Lerangis;3.98;43,923
Broken Point (The Wayward Gifted, #1);Donna K. Childree;3.86;76
"Dream Warrior (Dark-Hunter, #16; Dream-Hunter, #4)";Sherrilyn Kenyon;4.15;27,123
Suit (The Twin Duo, #1);Jettie Woodruff;4.14;3,909
Mirage;Nilakshi Garg;4.51;75
The Empire of Gold (The Daevabad Trilogy, #3);S.A. Chakraborty;4.51;24,281
Midnight Bayou;Nora Roberts;3.98;32,066
Naked Empire (Sword of Truth, #8);Terry Goodkind;3.80;55,434
The Reivers;William Faulkner;3.79;6,871
My Most Excellent Year;Steve Kluger;4.04;7,573
The Darkest Pleasure (Lords of the Underworld, #3);Gena Showalter;4.24;47,858
Desires of the Dead (The Body Finder, #2);Kimberly Derting;4.06;23,013
The Dragonfly Pool;Eva Ibbotson;4.04;4,625
Monster;Frank E. Peretti;3.80;22,600
Zoo (Zoo #1);James Patterson;3.52;43,906
الجزار;حسن الجندي;4.08;14,694
Remarkable Creatures;Tracy Chevalier;3.86;47,216
American Dirt;Jeanine Cummins;4.35;370,493
My Uncle Oswald;Roald Dahl;3.87;11,071
Maryamah Karpov: Mimpi-mimpi Lintang;Andrea Hirata;3.67;9,566
The Pillars of Creation (Sword of Truth, #7);Terry Goodkind;3.69;60,080
Heroes Die (The Acts of Caine, #1);Matthew Woodring Stover;4.09;11,374
Rising Sun;Michael Crichton;3.66;51,280
BOAT SHOES – SOLILOQUY OF A USELESS EATER: Book Two;Daire Feeney;4.73;15
The Piano Lesson;August Wilson;3.75;8,805
Jo's Boys;Louisa May Alcott;3.83;32,994
The Days Are Just Packed (Calvin and Hobbes #8);Bill Watterson;4.62;24,409
Nemesis (Miss Marple, #11);Agatha Christie;3.87;34,643
Why Not-World;Alexei Maxim Russell;4.13;55
Angelology (Angelology, #1);Danielle Trussoni;3.43;16,868
Second Helpings (Jessica Darling, #2);Megan McCafferty;4.07;25,875
The Queen (The Selection, #0.4);Kiera Cass;3.88;40,278
Words on Fire;Jennifer A. Nielsen;4.23;5,373
Alphabet Amigos;Angel M. Alvarez;4.86;28
My Life and Hard Times;James Thurber;4.12;3,346
The Puzzle Ring;Kate Forsyth;4.08;900
Endymion (Hyperion Cantos, #3);Dan Simmons;4.17;52,370
11 Birthdays (Willow Falls, #1);Wendy Mass;4.17;30,129
الهويات القاتلة;Amin Maalouf;3.91;9,336
Submarine;Joe Dunthorne;3.75;9,759
Dermaphoria;Craig Clevenger;3.66;3,402
Reasonable Doubt: Volume 1 (Reasonable Doubt, #1);Whitney G.;4.07;40,394
Abuse (Abuse, #1);Nikki Sex;4.07;1,027
The Shamer's Daughter (The Shamer Chronicles, #1);Lene Kaaberbøl;3.91;8,674
One Night with the Prince;T.M. Mendes;3.97;1,410
At the Mountains of Madness and Other Tales of Terror;H.P. Lovecraft;4.26;23,238
When Hitler Stole Pink Rabbit (Out of the Hitler Time, #1);Judith Kerr;3.98;16,794
The Hunters (Brotherband Chronicles, #3);John Flanagan;4.45;16,577
Rebirth (The Keeper, #3);O.L. Ramos;4.42;116
How to Love;Katie Cotugno;3.70;17,390
The Reality Bug (Pendragon, #4);D.J. MacHale;4.16;22,753
The Divine Comedy of Dante Alighieri, Volume 2: Purgatorio;Dante Alighieri;4.03;23,022
Hunting Human (Prime Legacy, #1);Amanda E. Alvarez;3.72;284
The Merchant's Daughter (Hagenheim, #2);Melanie Dickerson;3.96;12,924
Ecstasy;Irvine Welsh;3.57;9,929
Esio Trot;Roald Dahl;3.74;38,293
A Butler Christmas;Rahiem Brooks;4.53;34
Artemis;Andy Weir;3.67;205,319
El laberinto de los espíritus (El cementerio de los libros olvidados, #4);Carlos Ruiz Zafón;4.51;35,649
With the Fire on High;Elizabeth Acevedo;4.22;63,381
Reservation Blues;Sherman Alexie;3.98;13,004
The Empress's Tomb (Kiki Strike, #2);Kirsten Miller;4.14;3,078
Class A (Cherub, #2);Robert Muchamore;4.29;21,825
Desolation Angels;Jack Kerouac;3.93;10,703
Dark Tower Boxed Set;Stephen King;4.51;5,141
Allies of the Night (Cirque du Freak, #8);Darren Shan;4.19;24,389
The Kill Artist (Gabriel Allon, #1);Daniel Silva;4.02;64,037
Under the Skin;Michel Faber;3.73;22,660
I Kill Giants;Joe Kelly;4.15;15,788
Revealing Eden (Save the Pearls, #1);Victoria Foyt;2.05;941
Ain't She Sweet?;Susan Elizabeth Phillips;4.08;22,638
Charade (Games, #1);Nyrae Dawn;3.97;37,327
At Peace (The 'Burg, #2);Kristen Ashley;4.47;28,376
Knight in Shining Suit;Jerilee Kaye;4.35;3,562
Demented (Sinister Tales Book 1);Anna Gallegos;4.69;71
On the Come Up;Angie Thomas;4.30;79,434
مخزن الأعضاء البشرية;Arnaldur Indriðason;3.83;31,126
The Black Flamingo;Dean Atta;4.42;20,498
Jeremy and the Witches’ Medallion: The Witch Hunt;Randy  Gauthier;4.30;912
In the Forests of the Night;Amelia Atwater-Rhodes;3.88;14,333
The Baby Killers;Jay Lake;4.41;27
The Lottery;Shirley Jackson;4.08;65,767
Killing Lincoln: The Shocking Assassination that Changed America Forever;Bill O'Reilly;4.01;101,214
The Affair (Jack Reacher, #16);Lee Child;4.10;91,745
Conduit (Emily Monroe #1);Angie Martin;3.97;503
Tell Me Three Things;Julie Buxbaum;4.07;60,302
Still Me (Me Before You, #3);Jojo Moyes;4.12;169,744
The Price of Salt;Patricia Highsmith;3.99;51,568
Revenge of the Sith (Star Wars: Novelizations, #3);Matthew Woodring Stover;4.18;15,193
Memorial Day (Mitch Rapp, #7);Vince Flynn;4.30;47,789
A Man Without a Country;Kurt Vonnegut Jr.;4.05;42,710
The True Meaning of Smekday;Adam Rex;4.10;9,034
Mr. Maybe;Jane Green;3.47;90,992
Mid Ocean;T. Rafael Cimino;3.85;1,366
The Moral Landscape: How Science Can Determine Human Values;Sam Harris;3.91;21,345
Poison;Chris Wooding;3.99;6,034
To Tame a Highland Warrior (Highlander, #2);Karen Marie Moning;4.12;32,930
This is All: The Pillow Book of Cordelia Kenn;Aidan Chambers;4.31;2,186
A Bite's Tale;Veronica Blade;3.76;405
Legion (Legion, #1);Brandon Sanderson;4.14;36,478
Made (Sempre, #0.4);J.M. Darhower;4.52;3,036
Butcher's Crossing;John  Williams;4.14;15,629
The Reader (Sea of Ink and Gold, #1);Traci Chee;3.80;10,112
The Art of Living: The Classical Manual on Virtue, Happiness and Effectiveness;Epictetus;4.24;17,299
L'Œuvre au noir;Marguerite Yourcenar;4.06;4,323
Skin Trade (Anita Blake, Vampire Hunter #17);Laurell K. Hamilton;3.91;38,550
Diaspora;Greg Egan;4.13;7,723
Thirst No. 2: Phantom, Evil Thirst, and Creatures of Forever (Thirst, #2);Christopher Pike;4.07;29,465
Dark Needs at Night's Edge (Immortals After Dark, #4);Kresley Cole;4.28;49,296
When Darkness Comes (Guardians of Eternity, #1);Alexandra Ivy;3.84;13,895
Mutant Message Down Under;Marlo Morgan;3.75;19,252
The Gathering Darkness;Lisa Collicutt;3.80;196
جدارية;Mahmoud Darwish;4.31;5,709
The Long Earth (The Long Earth, #1);Terry Pratchett;3.78;55,394
Release;Patrick Ness;3.68;16,431
Sleeping Giants (Themis Files, #1);Sylvain Neuvel;3.83;78,960
The Alliance;Gerald N. Lund;4.22;4,232
Jimmy Corrigan: The Smartest Kid on Earth;Chris Ware;4.09;22,659
And to Think That I Saw It on Mulberry Street;Dr. Seuss;3.97;24,948
Bestiario;Julio Cortázar;4.24;16,091
The Sword Thief (The 39 Clues, #3);Peter Lerangis;3.89;48,614
The Midwife's Confession;Diane Chamberlain;4.07;37,739
Princess of the Silver Woods ( The Princesses of Westfalin Trilogy, #3);Jessica Day George;4.06;12,264
Tracy's Tiger;William Saroyan;4.25;3,112
The Law;Frédéric Bastiat;4.37;11,477
Drive: The Surprising Truth About What Motivates Us;Daniel H. Pink;3.94;107,470
In Other Lands;Sarah Rees Brennan;4.36;8,837
The Upside of Falling;Alex Light;3.64;27,295
Gulliver's Travels / A Modest Proposal;Jonathan Swift;3.88;3,992
Blade of Tyshalle (The Acts of Caine, #2);Matthew Woodring Stover;4.06;4,825
Scar Night (Deepgate Codex, #1);Alan Campbell;3.62;3,927
Reliquary (Pendergast, #2);Douglas Preston;4.02;43,619
The Dunwich Horror and Others;H.P. Lovecraft;4.20;14,149
Mara, Daughter of the Nile;Eloise Jarvis McGraw;4.24;10,686
The Heretic's Daughter;Kathleen Kent;3.77;34,472
Foretold (The Demon Trappers, #4);Jana Oliver;4.32;6,257
Why Be Happy When You Could Be Normal?;Jeanette Winterson;3.93;37,896
"The Late Show (Renée Ballard, #1; Harry Bosch Universe, #29)";Michael Connelly;4.05;70,187
One Small Sacrifice (Shadows of New York, #1);Hilary Davidson;3.86;13,468
The Unabridged Devil's Dictionary;Ambrose Bierce;4.01;10,886
Good to Great: Why Some Companies Make the Leap... and Others Don't;James C. Collins;4.12;153,709
Endgame & Act Without Words;Samuel Beckett;3.87;11,469
King of Sword and Sky (Tairen Soul, #3);C.L. Wilson;4.28;10,395
The Last Hope (Warriors: Omen of the Stars, #6);Erin Hunter;4.57;11,221
Look Back in Anger;John Osborne;3.55;11,518
Memory (Vorkosigan Saga, #10);Lois McMaster Bujold;4.38;18,458
Cabin Fever (Diary of a Wimpy Kid, #6);Jeff Kinney;4.24;106,974
The Evolution of Calpurnia Tate (Calpurnia Tate, #1);Jacqueline Kelly;3.96;34,050
Ask the Passengers;A.S. King;3.85;24,331
Smooth Talking Stranger (Travises, #3);Lisa Kleypas;4.14;38,524
أرني الله;توفيق الحكيم;3.85;5,911
The Magician's Assistant;Ann Patchett;3.68;37,086
This Heart of Mine (Chicago Stars, #5);Susan Elizabeth Phillips;4.09;30,393
The Fury (The Vampire Diaries, #3);L.J. Smith;3.52;29,954
Vampire, Interrupted (Argeneau #9);Lynsay Sands;4.34;19,173
Beautiful Boy: A Father's Journey Through His Son's Addiction;David Sheff;4.09;70,230
Gazing Into the Eternal;Belzebuub;4.58;69
The Rogue (Traitor Spy Trilogy, #2);Trudi Canavan;4.04;15,230
Pegasus and the Fight for Olympus (Pegasus, #2);Kate O'Hearn;4.40;5,840
All Hallows Eve (New England Witch Chronicles #4);Chelsea Luna;4.30;514
The Girl with the Silver Eyes;Willo Davis Roberts;4.02;9,870
Undone;Cat Clarke;4.14;3,509
Meditation: Insights and Inspirations;Amit Ray;4.78;155
The Drowning of Arthur Braxton;Caroline Smailes;3.87;1,748
The Lost Heir (Wings of Fire, #2);Tui T. Sutherland;4.49;25,564
Black Obsidian (Obsidian, #1);Victoria Quinn;3.71;13,091
Escape;Carolyn Jessop;3.91;45,542
Endless Night;Agatha Christie;3.82;27,891
The Unusual Suspects (The Sisters Grimm #2);Michael Buckley;4.24;22,286
The Book of Awesome;Neil Pasricha;3.80;11,152
The Romance of Tristan and Iseult;Joseph Bédier;3.61;9,850
New Yesterdays;Jim L. Wright;4.24;125
Until Friday Night (The Field Party, #1);Abbi Glines;3.96;46,792
Face of Our Father;G Egore Pitir;4.09;274
A Tale of Magic... (A Tale of Magic, #1);Chris Colfer;4.03;15,762
Malibu Rising;Taylor Jenkins Reid;4.12;225,298
The Buddha of Suburbia;Hanif Kureishi;3.74;15,922
After;Amy Efaw;3.73;19,633
Brightly Woven;Alexandra Bracken;3.80;9,007
Smack;Melvin Burgess;3.90;19,068
Leo;Mia Sheridan;4.02;37,660
Twisted (Sinister Tales Book 2);Anna Gallegos;4.53;51
Alice's Adventures in Wonderland & Other Stories;Lewis Carroll;4.24;29,978
The Betrothed;Alessandro Manzoni;3.85;7,328
Teacher Man (Frank McCourt, #3);Frank McCourt;3.70;41,827
The Wish List;Eoin Colfer;3.78;16,250
Hillbilly Tales from the Smoky Mountains - And Other Homespun Remedies, Proverbs, and Poetry;Patricia H. Graham;3.80;55
Danse Macabre;Stephen King;3.65;26,103
Southern Mystical Moments;Patricia H. Graham;4.28;95
The Divan;Hafez;4.64;7,667
Leave It to Psmith (Psmith, #4);P.G. Wodehouse;4.20;10,579
How to Kill an Incubus (Incubus #1);Kimber  Lee;4.34;1,511
Binti (Binti, #1);Nnedi Okorafor;3.91;59,077
Year One (Chronicles of The One, #1);Nora Roberts;4.01;77,255
A Heart So White;Javier Marías;4.01;9,925
Winter Rose (Winter Rose, #1);Patricia A. McKillip;3.85;7,069
The Last Book in the Universe;Rodman Philbrick;3.91;9,072
Tully;Paullina Simons;3.89;10,248
Tris's Book (Circle of Magic, #2);Tamora Pierce;4.10;30,670
Rakkety Tam (Redwall, #17);Brian Jacques;4.15;10,126
الحبيب الافتراضي;غادة السمان;3.61;705
Wiseguy;Nicholas Pileggi;4.20;14,961
Entangled;Cat Clarke;3.72;6,444
Red Sister (Book of the Ancestor, #1);Mark  Lawrence;4.13;53,474
Crave (Crave, #1);Tracy Wolff;3.78;40,033
Good Girl, Bad Blood (A Good Girl's Guide to Murder, #2);Holly  Jackson;4.40;44,757
Death's Mistress (Dorina Basarab, #2);Karen Chance;4.20;17,046
The Spook's Mistake (The Last Apprentice / Wardstone Chronicles, #5);Joseph Delaney;4.21;15,498
Habibi;Craig Thompson;4.03;38,092
Moonlight (Dark Guardian, #1);Rachel Hawthorne;3.80;12,628
13 Gifts (Willow Falls, #3);Wendy Mass;4.24;14,057
Underground: The Tokyo Gas Attack and the Japanese Psyche;Haruki Murakami;3.91;16,367
Gates of Paradise (Blue Bloods, #7);Melissa de la Cruz;4.08;13,601
Prelude to Foundation;Isaac Asimov;4.13;76,010
Romance of the Three Kingdoms, Vol. 1 of 2 (chapter 1-60);Luo Guanzhong;4.28;2,088
Dreams of a Dark Warrior (Immortals After Dark, #10);Kresley Cole;4.32;38,959
Forever . . .;Judy Blume;3.62;59,612
What the Heart Wants (Soulmate, #1);Kelli McCracken;3.78;2,659
Born of Silence (The League: Nemesis Rising #5);Sherrilyn Kenyon;4.49;11,305
Zombie Fallout (Zombie Fallout, #1);Mark Tufo;4.04;11,297
Morrigan's Cross (Circle Trilogy, #1);Nora Roberts;4.14;52,285
Clap When You Land;Elizabeth Acevedo;4.30;67,118
Dark River (Warriors: Power of Three, #2);Erin Hunter;4.29;19,241
Rectoverso;Dee Lestari;3.88;7,044
The Other Side of the Story;Marian Keyes;3.79;41,709
The Snowball: Warren Buffett and the Business of Life;Alice Schroeder;4.09;47,125
Savor the Moment (Bride Quartet, #3);Nora Roberts;4.13;54,130
Politics;Aristotle;3.97;34,149
The Wonderful Story of Henry Sugar and Six More;Roald Dahl;4.14;20,694
The Wretched of the Earth;Frantz Fanon;4.26;20,508
Rita Hayworth and Shawshank Redemption;Stephen King;4.53;27,576
The Traitor Baru Cormorant (The Masquerade, #1);Seth Dickinson;4.06;15,004
Undercover Princess (The Rosewood Chronicles, #1);Connie Glynn;4.03;5,679
The Third Option (Mitch Rapp, #4);Vince Flynn;4.25;43,082
Wreck This Journal;Keri Smith;4.13;15,035
Waiting to Live;Asa Don Brown;4.37;63
The Man Who Loved Clowns;June Rae Wood;4.47;1,809
Almost Perfect;Brian Katcher;3.85;8,570
Chronicles of the Black Company (The Chronicles of the Black Company, #1-3);Glen Cook;4.22;23,252
The Tide Knot;Helen Dunmore;3.99;5,119
If I Die (Soul Screamers, #5);Rachel Vincent;4.30;15,944
Golden Trail (The 'Burg, #3);Kristen Ashley;4.31;20,351
Angels and Demons / The Da Vinci Code (Robert Langdon, #1-2);Dan Brown;4.27;34,746
The Case of the Displaced Detective: The Arrival (Displaced Detective, #1);Stephanie Osborn;3.77;119
Beginnings: Obsidian & Onyx (Lux, #1-2);Jennifer L. Armentrout;4.56;6,445
My Best Friend's Girl;Dorothy Koomson;4.04;20,793
خداحافظ گاری کوپر;Romain Gary;3.89;7,578
The Marsh King's Daughter;Karen Dionne;3.88;28,259
"The Crystal Shard (Forgotten Realms: Icewind Dale, #1; Legend of Drizzt, #4)";R.A. Salvatore;4.08;53,942
Little Altars Everywhere;Rebecca Wells;3.57;29,061
Tinkers;Paul Harding;3.39;31,221
Safe House (1-800-Where-R-You, #3);Jenny Carroll;4.10;11,505
Stalking Darkness (Nightrunner, #2);Lynn Flewelling;4.25;14,090
Tall, Tatted and Tempting (The Reed Brothers, #1);Tammy Falkner;4.21;28,052
Saga of Darren Shan Box Set (The Saga of Darren Shan, #1-6);Darren Shan;4.55;2,396
The Complete Malazan Book of the Fallen;Steven Erikson;4.73;1,906
You're Never Weird on the Internet;Felicia Day;4.03;52,325
The Absolutist;John Boyne;4.06;15,683
The Casebook of Elisha Grey;Isabeau Vollhardt;4.29;593
The Miracle Worker: A Play;William  Gibson;4.18;34,986
Consent to Kill (Mitch Rapp, #8);Vince Flynn;4.36;47,191
Gregor and the Marks of Secret (Underland Chronicles, #4);Suzanne Collins;4.24;33,456
Barchester Towers;Anthony Trollope;4.03;14,990
Gamer Girl;Mari Mancusi;3.77;4,438
The Strange Affair of Spring Heeled Jack (Burton & Swinburne, #1);Mark Hodder;3.71;7,107
Underworld (Abandon, #2);Meg Cabot;3.87;22,323
Necropolis (Power of Five, #4);Anthony Horowitz;4.14;11,661
The Case of the Cosmological Killer: Endings and Beginnings (Displaced Detective, #4);Stephanie Osborn;4.26;50
Maya's Notebook;Isabel Allende;3.85;25,482
Addicted to You (Addicted, #1);Krista Ritchie;3.85;39,838
Cosmos;Witold Gombrowicz;4.02;3,212
The Thousandth Floor (The Thousandth Floor, #1);Katharine McGee;3.68;36,096
Something in the Water;Catherine Steadman;3.59;145,109
The Unhoneymooners;Christina Lauren;4.02;266,802
The Portable Nietzsche;Friedrich Nietzsche;4.21;8,903
When Things Fall Apart: Heart Advice for Difficult Times;Pema Chödrön;4.25;45,289
